Label,Count,Frequency(%)
greedy,96853,21.7129
dynamic programming,77879,17.4592
math,66289,14.8609
simulation,61060,13.6887
combinatorics,54773,12.2792
graph theory,52528,11.7759
sorting,42451,9.5168
prefix sum,38403,8.6093
string manipulation,29639,6.6446
modular arithmetic,28690,6.4318
graph traversal,25256,5.6620
breadth first search bfs,24916,5.5858
binary search,22717,5.0928
sliding window,22024,4.9374
greedy algorithms,18731,4.1992
number theory,18095,4.0566
bit manipulation,16896,3.7878
data structures,15611,3.4997
segment tree,14845,3.3280
tree traversal,14121,3.1657
hashing,13098,2.9364
backtracking,12063,2.7043
union find disjoint set union,11938,2.6763
shortest path,11930,2.6745
geometry,11870,2.6611
greedy algorithm,11561,2.5918
two pointers,11247,2.5214
game theory,11226,2.5167
stack,11094,2.4871
string processing,10834,2.4288
hash map,9509,2.1318
priority queue,9481,2.1255
depth first search dfs,9282,2.0809
brute force,9074,2.0342
frequency count,8545,1.9157
recursion,8478,1.9006
cycle detection,8296,1.8598
array manipulation,8113,1.8188
array traversal,8002,1.7939
computational geometry,7948,1.7818
permutations,7633,1.7112
topological sorting,7467,1.6740
grid traversal,7339,1.6453
probability,7104,1.5926
set operations,6742,1.5114
tree,6658,1.4926
pattern recognition,6376,1.4294
modulo arithmetic,6326,1.4182
dijkstras algorithm,6136,1.3756
dfs,6116,1.3711
string matching,5754,1.2900
minimum spanning tree,5727,1.2839
efficient query processing,5682,1.2738
mathematics,5644,1.2653
gcd,5397,1.2099
prime factorization,5073,1.1373
sieve of eratosthenes,4880,1.0940
permutation,4711,1.0561
range query,4562,1.0227
lazy propagation,4068,0.9120
coordinate compression,3971,0.8902
graph,3961,0.8880
dynamic programming on trees,3902,0.8748
array,3872,0.8680
efficient counting,3544,0.7945
state space search,3531,0.7916
constructive algorithms,3455,0.7746
lexicographical order,3333,0.7472
optimization,3285,0.7364
matrix exponentiation,3196,0.7165
inclusion exclusion,3146,0.7053
bipartite graph,3117,0.6988
divisors,3105,0.6961
memoization,3103,0.6956
trie,3022,0.6775
connected components,3000,0.6726
bipartite matching,2880,0.6457
expected value,2769,0.6208
observation,2757,0.6181
divide and conquer,2729,0.6118
string parsing,2709,0.6073
bitmasking,2657,0.5957
linear algebra,2622,0.5878
breadth first search,2597,0.5822
palindrome,2517,0.5643
counting,2494,0.5591
constructive algorithm,2491,0.5584
parsing,2437,0.5463
queue,2410,0.5403
monotonic stack,2327,0.5217
constraint satisfaction,2241,0.5024
mathematical analysis,2223,0.4984
linked list,2171,0.4867
bitwise operations,2142,0.4802
bitmask,2107,0.4724
interval scheduling,2087,0.4679
event processing,2028,0.4546
knapsack problem,1996,0.4475
nim game,1964,0.4403
subset sum,1938,0.4345
sweep line,1910,0.4282
binary tree,1909,0.4280
interactive problem,1860,0.4170
matrix traversal,1814,0.4067
digit manipulation,1809,0.4055
divisibility,1783,0.3997
binary indexed tree fenwick tree,1757,0.3939
heap,1740,0.3901
palindrome check,1739,0.3899
precomputation,1717,0.3849
matrix manipulation,1692,0.3793
enumeration,1689,0.3786
lowest common ancestor lca,1658,0.3717
state compression,1619,0.3630
inversion count,1606,0.3600
efficient data structures,1603,0.3594
digit dp,1591,0.3567
sprague grundy theorem,1586,0.3556
dfsbfs,1586,0.3556
pathfinding,1541,0.3455
suffix automaton,1541,0.3455
kruskals algorithm,1539,0.3450
longest increasing subsequence,1537,0.3446
adjacency list,1512,0.3390
interactive problems,1507,0.3378
efficient computation,1504,0.3372
tree construction,1490,0.3340
prime checking,1476,0.3309
efficient query handling,1466,0.3287
regular expressions,1463,0.3280
convex hull,1440,0.3228
greatest common divisor gcd,1423,0.3190
inclusion exclusion principle,1415,0.3172
conditional logic,1414,0.3170
exponentiation,1413,0.3168
set,1410,0.3161
bfs,1400,0.3139
pattern matching,1372,0.3076
coordinate geometry,1370,0.3071
ad hoc,1352,0.3031
subsequence,1336,0.2995
xor properties,1321,0.2961
line segment intersection,1305,0.2926
prime numbers,1300,0.2914
fenwick tree binary indexed tree,1282,0.2874
mathematical optimization,1276,0.2861
set theory,1241,0.2782
arithmetic progression,1240,0.2780
binary search tree,1206,0.2704
strongly connected components scc,1194,0.2677
expression evaluation,1167,0.2616
dfs depth first search,1136,0.2547
efficient algorithms,1123,0.2518
validation,1121,0.2513
circular array,1119,0.2509
case analysis,1116,0.2502
base conversion,1095,0.2455
multi source bfs,1089,0.2441
line intersection,1088,0.2439
kmp algorithm,1083,0.2428
string,1078,0.2417
strongly connected components,1076,0.2412
depth first search,1073,0.2405
efficient search,1071,0.2401
optimal strategy,1054,0.2363
efficient updates,1044,0.2340
merge sort,1044,0.2340
query optimization,1036,0.2323
grundy numbers,1007,0.2258
dfs traversal,986,0.2210
union find,979,0.2195
monotonic queue,976,0.2188
eulers totient function,971,0.2177
priority queue heap,968,0.2170
euler tour,960,0.2152
2d prefix sum,948,0.2125
binary lifting,948,0.2125
pattern generation,944,0.2116
matrix,944,0.2116
tree structures,940,0.2107
greedy strategy,934,0.2094
grid processing,931,0.2087
distance calculation,929,0.2083
graph representation,927,0.2078
kadanes algorithm,925,0.2074
disjoint set union dsu,919,0.2060
tree algorithms,919,0.2060
graph construction,918,0.2058
mathematical modeling,916,0.2054
hash table,909,0.2038
scheduling,888,0.1991
convex polygon,881,0.1975
brute force with optimization,877,0.1966
data structure design,862,0.1932
graph coloring,860,0.1928
histogram,860,0.1928
line sweep,847,0.1899
binary tree traversal,845,0.1894
tree diameter,842,0.1888
prims algorithm,839,0.1881
tree properties,839,0.1881
eulerian path,836,0.1874
mathematical insight,831,0.1863
fibonacci sequence,829,0.1858
arithmetic operations,827,0.1854
gaussian elimination,821,0.1841
priority queue min heap,809,0.1814
looping,808,0.1811
subsequence counting,802,0.1798
tree dp,795,0.1782
prefix suffix analysis,793,0.1778
prime number generation,793,0.1778
lexicographical comparison,793,0.1778
set data structure,789,0.1769
heavy light decomposition,787,0.1764
manhattan distance,783,0.1755
edge case handling,782,0.1753
lca lowest common ancestor,777,0.1742
big integers,776,0.1740
state representation,776,0.1740
heap priority queue,775,0.1737
recurrence relation,770,0.1726
string traversal,766,0.1717
optimal play,759,0.1702
hamiltonian path,757,0.1697
coordinate transformation,749,0.1679
event based processing,745,0.1670
expression parsing,745,0.1670
flow network,743,0.1666
string construction,740,0.1659
trigonometry,738,0.1654
time calculation,718,0.1610
modulo operation,715,0.1603
mex calculation,715,0.1603
binary representation,709,0.1589
tree data structure,709,0.1589
recursive parsing,707,0.1585
median calculation,707,0.1585
manachers algorithm,700,0.1569
